STATUS ,BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,,FOUND PATH
MATCH,2641869,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=2641869,,,148_au85,,./EarlyNovelsDigitization/Batch2QApass_shared51917/148_au85
MATCH,266593,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=266593,,,ct788_c2_a3,,./EarlyNovelsDigitization/ct788_c2_a3
MATCH,1801343,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1801343,,,d917_a5_1783,,./EarlyNovelsDigitization/d917_a5_1783
MATCH,1812432,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1812432,,,da331_h35_l6_1714,,./EarlyNovelsDigitization/da331_h35_l6_1714
MATCH,200672,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=200672,,,DA506_A71_G4_1770,,./EarlyNovelsDigitization/Batch2QApass_shared51917/DA506_A71_G4_1770
MATCH,316107,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=316107,,,da787_a365_a5_1726,,./EarlyNovelsDigitization/da787_a365_a5_1726
MATCH,3451191,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3451191,,,ec7_a100_702p3,,./EarlyNovelsDigitization/ec7_a100_702p3
MATCH,5427451,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=5427451,,,ec7_a100_723i,,./EarlyNovelsDigitization/ec7_a100_723i
MATCH,3228503,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3228503,,,ec7_a100_743m,,./EarlyNovelsDigitization/ec7_a100_743m
MATCH,3445751,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3445751,,,ec75_a100_771i,,./EarlyNovelsDigitization/Batch2QApass_shared51917/ec75_a100_771i
MATCH,3447530,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3447530,,,ec75_a100_778e,,./EarlyNovelsDigitization/ec75_a100_778e
