BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,
2641869,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=2641869,,,148_au85,
266593,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=266593,,,ct788_c2_a3,
1801343,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1801343,,,d917_a5_1783,
1812432,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1812432,,,da331_h35_l6_1714,
200672,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=200672,,,DA506_A71_G4_1770,
316107,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=316107,,,da787_a365_a5_1726,
3451191,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3451191,,,ec7_a100_702p3,
5427451,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=5427451,,,ec7_a100_723i,
3228503,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3228503,,,ec7_a100_743m,
3445751,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3445751,,,ec75_a100_771i,
3447530,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3447530,,,ec75_a100_778e,
3450812,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3450812,,,ec75_a100_781d3,
199565,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199565,,,pq1995_l75_n613_1769,
1197644,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1197644,,,pq2021_m3_e5_1786,
105352,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=105352,,,pq3889_l5_b413_1794,
1812293,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1812293,,,pr_3291_a1_l683_1724,
1816799,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1816799,,,pr_3461_f67_p69_1732,
201610,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=201610,,,pr3291_a1_a44_1771_v1-2,
199447,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199447,,,pr3291_a1_d57_1768,
198171,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=198171,,,pr3291_a1_f26_1766,
199965,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199965,,,pr3291_a1_h576_1770,
197280,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=197280,,,pr3291_a1_h63_1768_v1-2,
202196,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=202196,,,pr3291_a1_h6315_1770,
